File,Leda_ud,Leda_ur,Leda_pairwise_ud,Leda_pairwise_ur,Leda_balaban_ud,Leda_balaban_ur,Leda_trivial_ud,Leda_trivial_ur
/data/csv_files/1665-1665-1665-1665-1665_rounding_s_3000.csv,Error,1,1665,1,1665,1,1665,1
/data/csv_files/1500-1495-1500-1495-1495_star_intersections_9_3000.csv,1500,1500,1500,1500,1500,1500,1500,1500
/data/csv_files/1667-1667-1667-1667-1667_rounding_m_3000.csv,Error,1,1667,1,1667,1,1667,1
/data/csv_files/13500-13464-13500-13466-13464_star_intersections_10_4500.csv,13500,13500,13500,13500,13503,13500,13500,13500
/data/csv_files/255428-255370-255428-255370-255370_star_intersections_6_s_1000.csv,255400,255400,255400,255400,255428,255428,255428,255428
/data/csv_files/1-1-1-1-1_multi_axis_3.csv,1,1,1,1,1,1,1,1
/data/csv_files/2846973-2846973-2846973-2846973-2846973_random_s_5000.csv,2846973,2846973,2846973,2846973,2846973,2846973,2846973,2846973
/data/csv_files/3996408-3996408-3996408-3996408-3996408_star_intersections_6_l_4000.csv,3996408,3996408,3996408,3996408,3996408,3996408,3996408,3996408
/data/csv_files/461035-461035-461035-461035-461035_random_m_2000.csv,461035,461035,461035,461035,461035,461035,461035,461035
/data/csv_files/6251163-6251163-6251163-6251163-6251163_star_intersections_6_m_5000.csv,6251163,6251163,6251163,6251163,6251163,6251163,6251163,6251163
/data/csv_files/7428740-18900-7998000-2001-2001_star_intersections_4_m_4000.csv,1,1,1,1,8292963,7998000,7997926,7998000
/data/csv_files/248267-248267-248267-248267-248267_star_intersections_6_l_1000.csv,248267,248267,248267,248267,248267,248267,248267,248267
/data/csv_files/1890805-7509-1999000-1001-1001_star_intersections_4_l_2000.csv,1,1,1,1,2100308,1999000,1998866,1999000
/data/csv_files/6-3-6-3-3_multi_axis_4.csv,1,1,1,1,6,6,6,6
/data/csv_files/2-2-2-2-2_parallel_and_collinear_17.csv,2,2,1,1,1,1,1,1
/data/csv_files/3250-3242-3250-3242-3242_star_intersections_9_6500.csv,3250,3249,3250,3249,3251,3249,3250,3249
/data/csv_files/0-0-0-0-0_parallel_and_collinear_18.csv,0,0,0,0,0,0,0,0
/data/csv_files/484915-484915-484915-484915-484915_clustered_xxxxxl_5.csv,484915,484915,484915,484915,484915,484915,484915,484915
/data/csv_files/2-2-2-2-2_parallel_and_collinear_4.csv,2,2,1,1,1,1,1,1
/data/csv_files/555-555-555-555-555_rounding_m_1000.csv,Error,1,555,1,555,1,555,1
/data/csv_files/462787-2460-499500-501-501_star_intersections_4_s_1000.csv,1,1,1,1,513486,499500,499474,499500
/data/csv_files/0-0-0-0-0_parallel_and_collinear_14.csv,0,0,0,0,0,0,0,0
/data/csv_files/1009947-1009947-1009947-1009947-1009947_star_intersections_6_l_2000.csv,1009947,1009947,1009947,1009947,1009947,1009947,1009947,1009947
/data/csv_files/8000000-343871-8000000-5999614-418435_star_intersections_8_m_4000.csv,64820,2001804,27621,1999804,8560560,7995640,7998000,7995640
/data/csv_files/1-1-1-1-1_length_0_2.csv,0,0,1,1,1,1,1,1
/data/csv_files/300947-300947-300947-300947-300947_clustered_xxxl_5.csv,300947,300947,300947,300947,300947,300947,300947,300947
/data/csv_files/3-2-3-3-2_star_intersections_2.csv,1,1,1,1,3,1,3,1
/data/csv_files/3000-2977-3000-2986-2976_star_intersections_10_1000.csv,3000,3000,3000,3000,3004,3000,3000,3000
/data/csv_files/1-1-1-1-1_multi_axis_8.csv,1,1,1,1,1,1,1,1
/data/csv_files/8000000-299707-8000000-5833825-362645_star_intersections_7_s_4000.csv,Error,1942257,24331,1940257,8695256,7982016,7998000,7982016
/data/csv_files/8000000-299967-8000000-5838013-358626_star_intersections_7_m_4000.csv,61656,1943648,22013,1941648,9153116,7982016,7998000,7982016
/data/csv_files/1-1-1-1-1_multi_axis_7.csv,1,1,1,1,1,1,1,1
/data/csv_files/3983232-3983232-3983232-3983232-3983232_star_intersections_6_m_4000.csv,3983232,3983232,3983232,3983232,3983232,3983232,3983232,3983232
/data/csv_files/16500-16416-16500-16460-16426_star_intersections_10_5500.csv,16500,16500,16500,16500,16511,16500,16500,16500
/data/csv_files/12500000-499381-12500000-9373704-630160_star_intersections_8_l_5000.csv,109882,2885761,40466,2883261,13150112,11529824,12497500,11529824
/data/csv_files/12500000-499036-12500000-9374121-613847_star_intersections_8_s_5000.csv,102154,3124583,40480,3122083,14324536,12484556,12497500,12484556
/data/csv_files/8000000-347865-8000000-5999379-438633_star_intersections_8_l_4000.csv,75363,1855517,30514,1853517,8144524,7410824,7998000,7410824
/data/csv_files/3750-3741-3750-3741-3741_star_intersections_9_7500.csv,3750,3750,3750,3750,3750,3750,3750,3750
