File,Bo_d,Boost_d,Boost_r,Cgal_intersector_ud,Cgal_arrangement_ud,Cgal_intersector_ur,Cgal_arrangement_ur,Cgal_pairwise_ud,Cgal_pairwise_ur,Geo_d,Ogdf_ud,Sweeper
./tests/461035-461035-461035-461035-461035_random_m_2000.csv,Error,524288,753664,174374912,608223232,128696320,561119232,118816768,111542272,344064,203980800,Error
./tests/0-0-0-0-0_multi_axis_2.csv,Error,0,0,278528,327680,245760,327680,16384,0,0,98304,Error
./tests/19500-19459-19500-19461-19461_star_intersections_10_6500.csv,Error,507904,753664,14893056,35209216,10600448,31604736,6324224,4079616,1146880,18579456,Error
./tests/0-0-0-0-0_accuracy_2.csv,Error,65536,245760,311296,393216,393216,475136,16384,0,0,Error,Error
./tests/1110-1110-1110-1110-1110_rounding_s_2000.csv,Error,524288,933888,3194880,5472256,2228224,4325376,507904,573440,344064,3571712,Error
./tests/4500000-228417-4500000-3375243-282040_star_intersections_8_s_3000.csv,Error,475136,671744,436994048,1512030208,326860800,1411809280,400916480,290652160,Error,73039872,Error
./tests/15000-14893-15000-14954-14910_star_intersections_10_5000.csv,Error,475136,770048,11632640,27934720,8257536,24231936,5128192,3063808,884736,15089664,Error
./tests/1084203-1084203-1084203-1084203-1084203_random_s_3000.csv,Error,573440,802816,420790272,1460125696,313917440,1362542592,278839296,278528000,524288,524959744,Error
./tests/3000-2977-3000-2986-2976_star_intersections_10_1000.csv,Error,360448,753664,3014656,6782976,2424832,5849088,1966080,983040,229376,2834432,Error
./tests/2000000-122072-2000000-1500272-148870_star_intersections_8_m_2000.csv,Error,606208,1540096,195215360,659849216,145948672,625721344,177684480,127746048,Error,Error,Error
./tests/1667-1667-1667-1667-1667_rounding_m_3000.csv,Error,573440,901120,4128768,7127040,2916352,5931008,671744,589824,524288,5046272,Error
./tests/1-1-1-1-1_multi_axis_8.csv,Error,65536,245760,344064,557056,393216,507904,16384,0,0,114688,Error
./tests/3-2-3-2-2_parallel_and_collinear_11.csv,Error,114688,245760,344064,458752,393216,507904,32768,16384,16384,114688,Error
./tests/1667-1667-1667-1667-1667_rounding_l_3000.csv,Error,409600,802816,4702208,7880704,2932736,6062080,688128,655360,524288,5128192,Error
./tests/500000-43666-500000-375206-53797_star_intersections_8_s_1000.csv,Error,475136,950272,52101120,170475520,39174144,156876800,45744128,32636928,Error,16072704,Error
./tests/1-1-1-1-1_length_0_2.csv,Error,65536,196608,Error,Error,Error,Error,32768,0,0,114688,Error
./tests/1-1-1-1-1_length_0_3.csv,Error,65536,245760,Error,Error,Error,Error,32768,0,0,114688,Error
./tests/1250-1244-1250-1244-1244_star_intersections_9_2500.csv,Error,376832,688128,4112384,6209536,2899968,5767168,1327104,638976,442368,4440064,Error
./tests/2500-2493-2500-2494-2493_star_intersections_9_5000.csv,Error,409600,688128,6193152,10928128,5095424,10321920,1835008,868352,884736,9502720,Error
./tests/3500-3493-3500-3494-3493_star_intersections_9_7000.csv,Error,491520,884736,8781824,15319040,7389184,13844480,1884160,1064960,1228800,13582336,Error
./tests/484915-484915-484915-484915-484915_clustered_xxxxxl_5.csv,Error,409600,-622592,193380352,644169728,143917056,598900736,124895232,124452864,720896,215351296,Error
./tests/1-1-1-1-1_parallel_and_collinear_9.csv,Error,65536,245760,344064,425984,409600,491520,16384,0,0,114688,Error
./tests/2778-2778-2778-2778-2778_rounding_l_5000.csv,Error,458752,-114688,6569984,11780096,4718592,9666560,983040,-802816,901120,8617984,Error
./tests/2778-2778-2778-2778-2778_rounding_m_5000.csv,Error,524288,-802816,6635520,12025856,4882432,9830400,999424,819200,884736,8912896,Error
./tests/464459-464459-464459-464459-464459_clustered_xl_1.csv,Error,475136,770048,182812672,621871104,136249344,579534848,119717888,119062528,344064,205111296,Error
./tests/3-2-3-2-2_star_intersections_1.csv,Error,65536,245760,344064,475136,393216,540672,32768,0,16384,114688,Error
./tests/4500000-195758-4500000-3326458-238153_star_intersections_7_s_3000.csv,Error,475136,49152,429047808,1488945152,318816256,1356513280,391708672,284377088,Error,62177280,Error
./tests/2214179-2214179-2214179-2214179-2214179_star_intersections_6_l_3000.csv,Error,425984,720896,711163904,2846425088,496173056,2646949888,569049088,427147264,540672,1039040512,Error
./tests/0-0-0-0-0_accuracy_4.csv,Error,114688,311296,360448,442368,393216,475136,360448,0,0,Error,Error
./tests/0-0-0-0-0_parallel_and_collinear_19.csv,Error,114688,245760,262144,327680,229376,327680,16384,16384,0,114688,Error
./tests/500-494-500-494-494_star_intersections_9_1000.csv,Error,212992,622592,1998848,2883584,1540096,2539520,671744,442368,229376,1769472,Error
./tests/0-0-0-0-0_parallel_and_collinear_18.csv,Error,114688,229376,262144,327680,229376,327680,16384,16384,0,114688,Error
./tests/458125-458125-458125-458125-458125_clustered_xxxxxxxl_10.csv,Error,507904,0,182910976,612073472,136806400,567787520,118079488,117260288,933888,202899456,Error
./tests/1-1-2-2-2_accuracy_6.csv,Error,114688,262144,753664,851968,425984,491520,32768,0,0,Error,Error
./tests/2750-2736-2750-2738-2737_star_intersections_9_5500.csv,Error,475136,671744,7585792,12206080,6258688,10584064,1654784,950272,966656,9994240,Error
./tests/250470-250470-250470-250470-250470_star_intersections_6_m_1000.csv,Error,425984,770048,83509248,317407232,58703872,298352640,64552960,48644096,245760,109133824,Error
./tests/18000-17979-18000-17982-17979_star_intersections_10_6000.csv,Error,442368,819200,13238272,32292864,9469952,28835840,5505024,3751936,1081344,17285120,Error
./tests/4500000-197926-4500000-3325808-248674_star_intersections_7_l_3000.csv,Error,475136,163840,393822208,1391280128,284901376,1356890112,357564416,249004032,Error,66207744,Error
./tests/8000000-299707-8000000-5833825-362645_star_intersections_7_s_4000.csv,Error,524288,-262144,751222784,2561736704,559579136,2415214592,688390144,498532352,Error,88195072,Error
./tests/4500000-196292-4500000-3323410-236614_star_intersections_7_m_3000.csv,Error,524288,229376,402571264,1461321728,294109184,1365852160,366608384,257900544,Error,56623104,Error
./tests/3750-3741-3750-3741-3741_star_intersections_9_7500.csv,Error,409600,884736,8929280,15630336,7749632,14434304,1884160,81920,1343488,13385728,Error
./tests/12500000-435305-12500000-9168192-530025_star_intersections_7_s_5000.csv,Error,442368,868352,1158217728,2364129280,861143040,2552823808,1081131008,783532032,Error,145342464,Error
./tests/12500000-497588-12500000-9374063-606042_star_intersections_8_m_5000.csv,Error,475136,1441792,1167327232,3452960768,874643456,3891167232,1096417280,792051712,Error,164184064,Error
./tests/12500000-499036-12500000-9374121-613847_star_intersections_8_s_5000.csv,Error,442368,1572864,1183105024,4175347712,875544576,3894919168,1108819968,804519936,Error,163840000,Error
./tests/12500000-499381-12500000-9373704-630160_star_intersections_8_l_5000.csv,Error,-557056,-311296,951304192,4070293504,785285120,3540811776,1009811456,705183744,Error,Error,Error
./tests/8000000-347865-8000000-5999379-438633_star_intersections_8_l_4000.csv,Error,573440,1736704,708952064,2607153152,516800512,2380906496,646168576,450756608,Error,117800960,Error
./tests/12500000-438565-12500000-9157240-544812_star_intersections_7_l_5000.csv,Error,655360,950272,1056276480,3864035328,763133952,3580100608,982532096,685375488,Error,148963328,Error
./tests/12500000-435224-12500000-9164219-523066_star_intersections_7_m_5000.csv,Error,491520,917504,1080164352,3728867328,790560768,3457777664,1009975296,712556544,Error,Error,Error
